@RELATION training_keyboard

    @ATTRIBUTE pacman_positionX NUMERIC
    @ATTRIBUTE pacman_positionY NUMERIC
    @ATTRIBUTE width_map NUMERIC
    @ATTRIBUTE height_map NUMERIC
    @ATTRIBUTE legal_North {0, 1}
    @ATTRIBUTE legal_South {0, 1}
    @ATTRIBUTE legal_East {0, 1}
    @ATTRIBUTE legal_West {0, 1}
    @ATTRIBUTE legal_Stop {0, 1}
    @ATTRIBUTE pacman_direction {North, South, East, West, Stop}
    @ATTRIBUTE n_ghosts NUMERIC
    @ATTRIBUTE living_ghosts NUMERIC
    @ATTRIBUTE ghost1_positionX NUMERIC
    @ATTRIBUTE ghost1_positionY NUMERIC
    @ATTRIBUTE ghost2_positionX NUMERIC
    @ATTRIBUTE ghost2_positionY NUMERIC
    @ATTRIBUTE ghost3_positionX NUMERIC
    @ATTRIBUTE ghost3_positionY NUMERIC
    @ATTRIBUTE ghost4_positionX NUMERIC
    @ATTRIBUTE ghost4_positionY NUMERIC
    @ATTRIBUTE ghost1_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost2_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost3_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost4_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost1_distance NUMERIC
    @ATTRIBUTE ghost2_distance NUMERIC
    @ATTRIBUTE ghost3_distance NUMERIC
    @ATTRIBUTE ghost4_distance NUMERIC
    @ATTRIBUTE n_food NUMERIC
    @ATTRIBUTE closest_foo NUMERIC
    @ATTRIBUTE next_step {North, South, East, West, Stop}
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE score1 NUMERIC
    @ATTRIBUTE score2 NUMERIC
    @ATTRIBUTE score3 NUMERIC


    @data
8, 1, 19, 7, 1, 0, 1, 1, 1, Stop, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, None, None, None, None, -1, 11, 6, -1, 22, 3, Stop, 0, -1, -2, -3
8, 1, 19, 7, 1, 0, 1, 1, 1, Stop, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 11, 6, -1, 22, 3, Stop, -1, -2, -3, -4
8, 1, 19, 7, 1, 0, 1, 1, 1, Stop, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 11, 6, -1, 22, 3, East, -2, -3, -4, 95
7, 1, 19, 7, 1, 0, 1, 1, 1, West, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 10, 7, -1, 22, 2, West, -3, -4, 95, 194
6, 1, 19, 7, 0, 0, 1, 1, 1, West, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 9, 8, -1, 22, 1, West, -4, 95, 194, 293
5, 1, 19, 7, 1, 0, 1, 1, 1, West, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 8, 9, -1, 21, 1, West, 95, 194, 293, 392
4, 1, 19, 7, 0, 0, 1, 1, 1, West, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 7, 10, -1, 20, 1, West, 194, 293, 392, 791
3, 1, 19, 7, 0, 0, 1, 1, 1, West, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 6, 11, -1, 19, 1, West, 293, 392, 791, 890
2, 1, 19, 7, 0, 0, 1, 1, 1, West, 4, 4, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 5, 12, -1, 18, 2, West, 392, 791, 890, 989
1, 1, 19, 7, 1, 0, 1, 0, 1, West, 4, 3, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 4, 13, -1, 18, 1, North, 791, 890, 989, 1088
1, 2, 19, 7, 1, 1, 0, 0, 1, North, 4, 3, 1, 1, 1, 5, 10, 5, 17, 1, Stop, Stop, Stop, Stop, -1, 3, 12, -1, 17, 1, North, 890, 989, 1088, 1287
