@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R33-35-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,31-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-31'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}

@data
1,1,19,7,1,0,1,0,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,18,North
1,2,19,7,1,1,0,0,1,North,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,17,North
1,3,19,7,1,1,0,0,1,North,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,16,North
1,4,19,7,1,1,0,0,1,North,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,15,North
15,1,19,7,1,0,0,1,1,East,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,8,North
15,2,19,7,1,1,0,1,1,North,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,7,North
14,3,19,7,1,1,1,0,1,West,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,7,North
14,4,19,7,1,1,0,0,1,North,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,7,North
15,3,28,29,1,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
15,4,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
18,5,28,29,1,0,0,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
18,6,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
18,7,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
15,8,28,29,1,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
15,9,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
15,10,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
19,11,28,29,1,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
19,12,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
19,13,28,29,1,1,0,1,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
19,14,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
19,15,28,29,1,1,1,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
19,16,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North
3,1,20,9,1,0,1,0,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,62,North
3,2,20,9,1,1,0,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,61,North
6,3,20,9,1,1,0,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,57,North
6,4,20,9,1,1,0,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,56,North
1,5,20,9,1,1,1,0,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,50,North
1,6,20,9,1,1,0,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,49,North
10,5,20,9,1,0,1,1,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,45,North
10,6,20,9,1,1,0,1,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,44,North
18,1,20,9,1,0,0,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,27,North
18,2,20,9,1,1,0,0,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,26,North
18,3,20,9,1,1,0,0,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,25,North
18,4,20,9,1,1,0,0,1,North,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,24,North
15,5,20,9,1,0,1,1,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,22,North
3,6,30,20,1,1,1,1,1,East,4,6,9,10,3,20,5,23,6,North,West,South,West,0,North
5,7,30,20,1,1,1,1,1,East,4,5,8,10,3,21,3,23,7,West,East,South,South,0,North
9,4,30,20,1,1,1,1,1,East,4,1,1,11,6,22,4,24,3,Stop,North,North,North,0,North
11,5,30,20,1,1,0,1,1,East,4,1,1,3,1,22,4,24,6,Stop,Stop,North,East,0,North
11,6,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,25,6,Stop,Stop,South,East,0,North
11,7,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,26,6,Stop,Stop,South,East,0,North
11,8,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,26,6,Stop,Stop,South,South,0,North
11,9,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,26,5,Stop,Stop,South,East,0,North
11,10,30,20,1,1,0,1,1,North,4,1,1,3,1,22,3,27,5,Stop,Stop,South,East,0,North
11,11,30,20,1,1,0,1,1,North,4,1,1,3,1,21,3,27,5,Stop,Stop,West,North,0,North
6,1,20,13,1,0,1,0,1,West,4,11,7,11,7,9,8,11,7,East,East,West,East,111,North
6,2,20,13,1,1,0,0,1,North,4,10,7,11,7,10,8,11,7,West,East,East,West,110,North
6,3,20,13,1,1,1,1,1,North,4,11,7,10,7,10,8,10,7,East,West,East,East,109,North
4,4,20,13,1,1,1,1,1,West,4,9,7,10,8,9,10,11,7,West,North,North,West,106,North
6,5,20,13,1,1,0,1,1,East,4,9,10,10,10,9,11,8,7,North,North,West,West,103,North
6,6,20,13,1,1,0,1,1,North,4,9,11,9,10,9,11,7,7,North,West,West,East,102,North
6,7,20,13,1,1,1,1,1,West,4,7,11,10,10,8,11,8,1,East,East,West,East,101,North
6,8,20,13,1,1,0,0,1,North,4,6,11,9,10,8,11,8,1,West,West,West,East,100,North
6,9,20,13,1,1,1,1,1,North,4,6,10,9,11,8,11,8,1,South,North,West,East,99,North
6,10,20,13,1,1,0,0,1,North,4,1,2,9,10,9,11,9,1,North,South,East,East,98,North
6,1,20,13,1,0,1,0,1,West,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,111,North
6,2,20,13,1,1,0,0,1,North,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,110,North
3,3,20,13,1,0,1,0,1,West,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,106,North
4,3,20,13,1,1,1,1,1,East,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,106,North
6,4,20,13,1,1,0,1,1,East,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,103,North
5,6,20,13,1,1,1,1,1,East,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,96,North
4,6,30,20,1,1,1,1,1,East,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,North
4,7,30,20,1,1,1,1,1,North,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,North
4,8,30,20,1,1,1,1,1,North,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,North
