@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-weka.filters.unsupervised.attribute.Remove-R28-29'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}
@attribute score numeric
@attribute score1 numeric

@data
8,1,19,7,1,0,1,1,1,Stop,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,22,East,-2,-3
7,1,19,7,1,0,1,1,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,22,West,-3,-4
6,1,19,7,0,0,1,1,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,22,West,-4,95
5,1,19,7,1,0,1,1,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,21,West,95,194
4,1,19,7,0,0,1,1,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,20,West,194,293
3,1,19,7,0,0,1,1,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,19,West,293,392
2,1,19,7,0,0,1,1,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,18,West,392,791
1,1,19,7,1,0,1,0,1,West,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,18,North,791,890
1,2,19,7,1,1,0,0,1,North,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,17,North,890,989
1,3,19,7,1,1,0,0,1,North,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,16,North,989,1088
1,4,19,7,1,1,0,0,1,North,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,15,North,1088,1287
1,5,19,7,0,1,1,0,1,North,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,15,East,1287,1386
2,5,19,7,0,0,1,1,1,East,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,14,East,1386,1385
3,5,19,7,0,1,1,1,1,East,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,14,East,1385,1384
4,5,19,7,0,0,1,1,1,East,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,14,East,1384,1383
5,5,19,7,0,1,1,1,1,East,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,14,East,1383,1382
6,5,19,7,0,0,1,1,1,East,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,14,East,1382,1381
7,5,19,7,0,0,1,1,1,East,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,14,East,1381,1380
