@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Remove-R3-4,9-24,29-weka.filters.unsupervised.attribute.Remove-R14-15'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute ghost1_distance numeric
@attribute ghost2_distance numeric
@attribute ghost3_distance numeric
@attribute ghost4_distance numeric
@attribute closest_foo numeric
@attribute next_step {North,South,East,West,Stop}
@attribute score numeric
@attribute score3 numeric

@data
1,18,0,1,1,0,13,25,28,35,-1,East,0,-3
2,18,0,0,1,1,11,24,27,33,-1,East,-1,-4
3,18,0,0,1,1,11,22,27,33,-1,East,-2,-5
4,18,0,0,1,1,9,20,25,31,-1,East,-3,-6
5,18,0,0,1,1,8,20,25,29,-1,Stop,-4,-7
4,18,0,0,1,1,9,20,25,31,-1,East,-5,-8
3,18,0,0,1,1,11,20,25,31,-1,West,-6,-9
4,18,0,0,1,1,10,18,23,29,-1,East,-7,-10
5,18,0,0,1,1,10,18,21,27,-1,East,-8,-11
6,18,0,0,1,1,8,17,21,27,-1,East,-9,-12
7,18,0,0,1,1,10,15,21,25,-1,East,-10,-13
8,18,0,0,1,1,11,16,21,25,-1,East,-11,-14
9,18,0,0,1,1,12,16,21,25,-1,West,-12,-15
8,18,0,0,1,1,10,14,21,26,-1,West,-13,-16
7,18,0,0,1,1,10,15,21,28,-1,West,-14,-17
6,18,0,0,1,1,8,15,23,30,-1,Stop,-15,-18
7,18,0,0,1,1,10,14,21,28,-1,East,-16,-19
8,18,0,0,1,1,11,14,19,27,-1,East,-17,-20
9,18,0,0,1,1,13,16,17,25,-1,West,-18,-21
8,18,0,0,1,1,12,14,19,25,-1,West,-19,-22
7,18,0,0,1,1,12,16,20,25,-1,West,-20,-23
6,18,0,0,1,1,11,16,22,27,-1,West,-21,-24
5,18,0,0,1,1,9,16,24,29,-1,East,-22,-25
6,18,0,0,1,1,11,16,24,29,-1,East,-23,-26
7,18,0,0,1,1,11,14,22,29,-1,East,-24,-27
8,18,0,0,1,1,13,14,21,29,-1,West,-25,-28
